rho1	rho2	rho3	rho4	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	culture_group
0.1	0.1	0.5	0.3	64.97	6.004216141800303	8.7	1.9976762502877026	5.68	0.11700424381657859	4.006539891512597	1.4145785806905258	0.5360455078024687	0.8657495942249699	0.15625	0.16129032258064516	64.0	62.0	40
0.1	0.1	0.6	0.2	82.35	6.54698106426812	8.5	1.9829601504686223	4.8	0.08801671003087806	4.564020913799499	1.275804881997938	0.45112543939664784	0.7924414466190658	0.11764705882352941	0.11494252873563218	85.0	87.0	50
0.1	0.1	0.6	0.2	112.29	8.806635501518308	9.3	2.1759761037371192	4.65	0.07716085512971897	6.630659397781183	1.3853143579232003	0.431351553912415	0.8895016345434287	0.08849557522123894	0.08695652173913043	113.0	115.0	50
0.1	0.1	0.6	0.2	110.59	7.8966135226473435	9.6	2.550131368997747	5.05	0.08361990758973362	5.346482153649597	1.4383847251577748	0.40489356584653813	0.9281466825384355	0.09615384615384616	0.09433962264150944	104.0	106.0	50
0.1	0.1	0.6	0.2	87.11	7.121978189284964	8.5	1.9457383765290581	5.1	0.08349660760875179	5.176239812755905	1.251513224543833	0.45629963501563436	0.8290138384161092	0.1111111111111111	0.10869565217391304	90.0	92.0	50
0.1	0.1	0.6	0.2	109.83	6.7846487809013025	8.71	2.272230252140232	5.28	0.07063098126787182	4.512418528761069	1.1207527918814906	0.35280651190114	0.8402822292007504	0.08620689655172414	0.08771929824561403	116.0	114.0	50
0.1	0.1	0.6	0.2	133.57	9.692265564427107	9.8	2.834060350632845	6.86	0.07199962633630431	6.858205213794259	1.2985637476703533	0.34252335621131	0.8883743073493211	0.07692307692307693	0.07575757575757576	130.0	132.0	50
0.1	0.1	0.6	0.2	90.43	8.602536615030346	9.0	1.9469981613573326	5.4	0.09013541371503521	6.655538453673015	1.3806036539585202	0.4977958941475983	0.9640797236790413	0.10989010989010989	0.10989010989010989	91.0	91.0	50
0.1	0.1	0.6	0.2	91.99	6.890952148723458	9.5	1.7953124872824902	4.75	0.09867173552330191	5.095639661440968	1.3246238172235387	0.34548517832019165	0.8165269084344061	0.11764705882352941	0.11904761904761904	85.0	84.0	50
0.1	0.1	0.6	0.2	100.9	8.2543232408944	9.6	1.9313550905811205	5.04	0.09148192118522809	6.32296815031328	1.449702869158909	0.3583330798058666	0.9108766073913389	0.10309278350515463	0.10101010101010101	97.0	99.0	50
0.1	0.1	0.6	0.2	90.88	6.1006714911416	9.2	1.9538986753899996	4.6	0.09389919088873383	4.146772815751603	1.284544043494292	0.41187601541020213	0.8818377363407983	0.11764705882352941	0.11494252873563218	85.0	87.0	50
0.1	0.2	0.1	0.6	5.61	1.4844453601953607	2.89	1.4405519758019762	2.7	0.6475518093018094	0.043893384393384395	0.8539184303250147	0.6441443346375025	0.7446288533272597	0.0	0.5	1.0	2.0	60
0.1	0.2	0.1	0.6	0.82	0.6491666666666667	0.72	0.5958333333333333	0.61	0.5474999999999999	0.05333333333333333	0.5160171922267899	0.5065223337515461	0.5113084072712694	0.0	0.0	1.0	1.0	60
0.1	0.2	0.1	0.6	0.92	0.6866666666666668	0.8	0.6233333333333333	0.63	0.5716666666666668	0.06333333333333332	0.5720761313761341	0.5536814811586048	0.5634325243543861	0.0	0.0	0.0	0.0	60
0.1	0.2	0.1	0.6	0.73	0.65	0.6	0.56	0.56	0.5091666666666668	0.09	0.5012998143283024	0.4934967631698683	0.4974305005567182	0.0	0.0	0.0	0.0	60
0.1	0.2	0.1	0.6	1.66	1.1305714285714286	1.25	0.8131190476190477	0.97	0.6397619047619044	0.31745238095238093	0.6563256508564109	0.5801438243367945	0.6191422309504924	0.0	0.0	1.0	0.0	60
0.1	0.2	0.1	0.6	1.12	0.7808333333333334	0.89	0.6826666666666668	0.72	0.5798333333333333	0.09816666666666667	0.5980117896476328	0.5647979928836128	0.583397937152396	0.0	0.9492176317024067	1.0	2.0	60
0.1	0.2	0.1	0.6	0.93	0.7383333333333334	0.75	0.6216666666666666	0.65	0.5433333333333333	0.11666666666666665	0.5489524908918381	0.5238780005355993	0.5365664188011894	0.6666666666666666	0.0	3.0	1.0	60
0.1	0.2	0.1	0.6	0.75	0.645	0.61	0.5716666666666667	0.59	0.5066666666666666	0.07333333333333333	0.47928458698537485	0.4627970744850809	0.4712043613869767	0.3333333333333333	0.9700504052307874	3.0	2.0	60
0.1	0.2	0.1	0.6	0.87	0.7491666666666665	0.68	0.6258333333333334	0.65	0.5425	0.12333333333333334	0.5756356212976163	0.5544025573953927	0.5639463321000981	0.0	0.0	1.0	1.0	60
0.1	0.2	0.1	0.6	0.7	0.5983333333333334	0.64	0.5583333333333333	0.57	0.5266666666666666	0.04	0.45724222878469845	0.4501268824548943	0.4537665468195453	0.0	0.0	0.0	0.0	60
0.1	0.2	0.2	0.5	6.13	2.775115467865468	3.35	1.7024023615273614	3.34	0.8047061827061829	1.0727131063381063	0.9157430732553636	0.6741842889205303	0.7985812983417243	0.5833333333333334	0.6428571428571429	12.0	14.0	70
0.1	0.2	0.2	0.5	1.24	0.8633333333333334	0.8	0.6633333333333333	0.71	0.49533333333333346	0.20000000000000004	0.571653574675969	0.5018920141371089	0.5385595294513893	0.0	0.0	1.0	1.0	70
0.1	0.2	0.2	0.5	3.01	1.5079873737373735	1.7	1.1616709956709956	1.68	0.6256010101010101	0.34631637806637805	0.7842104363604612	0.6446320450825536	0.70272873734045	0.0	0.25	2.0	4.0	70
